;host_response_time;host_response_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;mes;ano
163;within a few hours;100%;f;1.0;t;Flamengo;Apartment;Private room;2;1.0;1.0;2.0;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",Other}";$92.00;;;1;$80.00;2;38;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;9;2019
164;within an hour;100%;f;1.0;t;Ipanema;Apartment;Entire home/apt;6;3.0;3.0;3.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",Bathtub,""Stair gates"",""Babysitter recommendations"",Crib,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you""}";$632.00;$2,433.00;$292.00;2;$92.00;3;34;86.0;9.0;7.0;9.0;10.0;10.0;9.0;t;f;strict;9;2019
165;within a few hours;100%;f;7.0;t;Barra da Tijuca;Bed and breakfast;Private room;2;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Breakfast,""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}";$140.00;;;1;$85.00;1;22;94.0;9.0;9.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
166;within a few hours;100%;f;7.0;t;Barra da Tijuca;Bed and breakfast;Private room;2;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Breakfast,""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}";$140.00;;;1;$85.00;1;16;91.0;9.0;9.0;10.0;10.0;9.0;10.0;f;f;strict;9;2019
167;;;f;1.0;t;Leblon;Apartment;Entire home/apt;6;1.5;2.0;4.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove}";$430.00;$2,000.00;$150.00;4;$150.00;4;28;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;9;2019
168;within a day;100%;f;1.0;f;Leme;Apartment;Entire home/apt;3;1.0;1.0;1.0;"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Elevator,""Family/kid friendly"",Essentials,""translation missing: en.hosting_amenity_50""}";$120.00;$0.00;$0.00;2;$50.00;2;2;80.0;9.0;8.0;7.0;9.0;9.0;8.0;f;f;flexible;9;2019
169;;;f;1.0;f;Rio Comprido;Apartment;Private room;2;1.0;1.0;1.0;"{Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Essentials,""Lock on bedroom door"",""Laptop friendly workspace""}";$113.00;;;1;$0.00;1;0;;;;;;;;t;f;flexible;9;2019
170;within a day;100%;t;4.0;t;Copacabana;Bed and breakfast;Private room;5;2.0;1.0;4.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,""Pets live on this property"",Cat(s),Elevator,""Family/kid friendly"",Washer}";$1,781.00;;$188.00;1;$0.00;2;2;100.0;10.0;10.0;10.0;10.0;8.0;10.0;f;f;strict;9;2019
171;a few days or more;0%;f;1.0;f;Copacabana;Apartment;Private room;2;1.5;1.0;1.0;"{TV,Wifi,Kitchen,""Smoking allowed"",Elevator,Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",Iron,""Room-darkening shades"",Microwave,""Coffee maker"",""Dishes and silverware"",""Cooking basics"",Stove,""Patio or balcony"",""Wide hallway clearance"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",Beachfront,""Handheld shower head""}";$700.00;;;1;$0.00;1;0;;;;;;;;t;f;moderate;9;2019
172;;;f;1.0;f;Jacarepaguá;Apartment;Entire home/apt;6;1.0;2.0;4.0;"{TV,""Cable TV"",""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Shampoo,Hangers,Iron}";$301.00;$1,000.00;$150.00;1;$100.00;3;0;;;;;;;;f;f;strict;9;2019
